County,pov2010,pov2012,pov2014,pov2016,pov2018,ccode
Alachua,23.6,23.8,25.4,24.2,21.2,1
Baker,17,17,18.6,18.5,15.3,3
Bay,12.4,13.3,14.8,15.6,14.9,5
Bradford,16,20.1,19.3,19.3,19.1,7
Brevard,10.5,12.5,14,14,12.4,9
Broward,12.3,13.5,14.6,14.4,13.1,11
Calhoun,21.1,24.8,22.5,13.1,21.1,13
Charlotte,10.5,11.9,12.7,12.4,10.8,15
Citrus,14.4,16.5,17.3,17.7,14.4,17
Clay,8.5,10.1,10.5,10.2,9.9,19
Collier,12.2,14,14.4,13.2,11.7,21
Columbia,15.6,19.7,20,19.4,16.5,23
DeSoto,26.9,26.8,30.5,29.9,26.1,27
Dixie,15.5,16.3,18.9,21.5,24.4,29
Duval,14.2,15.8,17.4,16.6,15.1,31
Escambia,16.4,17.8,17.1,14.7,16.4,33
Flagler,11.9,14.4,16.4,13.2,12,35
Franklin,25.6,22.2,23,20.7,21.3,37
Gadsden,27.6,29.5,27.2,25.6,23.1,39
Gilchrist,20.1,21.9,24.9,23.8,16.1,41
Glades,19.6,25.3,24.3,20.7,18.9,43
Gulf,19.5,18.8,16.4,15.3,21.6,45
Hamilton,21.4,22.6,28.6,27,24,47
Hardee,26.1,29.7,30.8,26.4,23.3,49
Hendry,26.4,28.7,26.8,26.3,23.9,51
Hernando,11.8,14.8,16,15.6,14,53
Highlands,16.9,19,19.2,19.4,19.8,55
Hillsborough,14.2,16.5,17.2,16.4,15.5,57
Holmes,19.9,22.6,26.6,26,21.2,59
Indian River,12.6,14.8,15.4,14.1,10.6,61
Jackson,19.7,15.5,21.3,22.9,18,63
Jefferson,18.7,18.8,17.1,15.8,17.7,65
Lafayette,18,20.8,23.5,18,22.7,67
Lake,11,13,14.3,13.5,12.6,69
Lee,12,14.5,16,15.5,11.8,71
Leon,22,22.8,23.7,21.3,18,73
Levy,21.6,22.8,24,22.2,20.8,75
Liberty,15.8,22.2,20.1,16.9,23,77
Madison,21,21.6,22.2,28.5,28.3,79
Manatee,12.8,14.5,14.9,14.3,10.8,81
Marion,15.3,17.3,18.3,18.2,16.2,83
Martin,10.4,12.5,12,11.8,10.9,85
Miami-Dade,17.2,19.1,20.5,19.9,16.7,25
Monroe,10.8,12.1,13.9,13,11.8,87
Nassau,9.3,11.1,12.6,12.7,9.1,89
Okaloosa,10.6,12.5,13.7,12,10.9,91
Okeechobee,19.7,27.2,27.9,25.3,21.8,93
Orange,13.4,16.3,17.8,17.3,15.3,95
Osceola,13.3,16,18.3,19.5,14,97
Palm Beach,12.2,14,14.6,13.9,11.8,99
Pasco,12.3,13.7,14.3,13.6,13,101
Pinellas,12.1,13.1,14.3,14.1,12.2,103
Polk,15.2,17.5,18.5,17.7,16.1,105
Putnam,23.3,25.5,26.5,27,26.3,107
St. Johns,9.1,9.8,9.7,9,10.2,109
St. Lucie,13.7,16.6,18.4,17.9,9.2,111
Santa Rosa,11.3,11.1,12.2,12.3,11.2,113
Sarasota,10.5,11.6,11.8,11,8.3,115
Seminole,9.8,10.8,11.6,12.1,12.8,117
Sumter,11.2,11.7,10.9,9.9,9.1,119
Suwannee,17.3,21.9,24.1,22.7,20.3,121
Taylor,19.1,19.1,13.8,14.8,23.8,123
Union,21.3,18.7,19,22.4,22.2,125
Volusia,13.8,16,17.6,16.7,15.2,127
Wakulla,12.5,14.1,13.4,14.3,12.9,129
Walton,14.6,16.4,17.7,17.4,15.9,131
Washington,19.3,20.9,19.5,20.5,21.1,133
