County,trn2010,trn2012,trn2014,trn2016,trn2018,ccode
Alachua,49.41,73.4,50.2,73.6,62.41,1
Baker,58.17,81.8,61.79,84.3,70.18,3
Bay,51.41,71.22,51.14,75.17,52.87,5
Bradford,0,0,55.44,76.25,64.95,7
Brevard,55.88,75.6,59.47,77.82,67.26,9
Broward,41,67,44.6,71.8,61.3,11
Calhoun,51.77,75.28,50.95,72.09,53.53,13
Charlotte,51.98,74.19,56.74,76.5,65.6,15
Citrus,57.1,75.6,60.78,76.6,65.36,17
Clay,52.91,73.22,50.55,73.54,61.43,19
Collier,57.92,83.27,61.14,86.94,73.53,21
Columbia,0,0,52.44,77.61,62.04,23
DeSoto,0,0,51.03,68.85,53.74,27
Dixie,0,68,55.34,73.39,60.58,29
Duval,50.36,73.98,49.43,74.65,62.87,31
Escambia,49.18,75.51,49.3,73.9,61.23,33
Flagler,51.1,73,53.4,73.6,64.55,35
Franklin,0,0,0,0,0,37
Gadsden,57.21,76.42,61.06,75.47,67.66,39
Gilchrist,50.4,71.95,54.56,74.55,63.07,41
Glades,0,0,0,0,57,43
Gulf,54.73,79.49,54.85,72.23,58.24,45
Hamilton,51.7,68.57,48.55,68.39,59.42,47
Hardee,0,0,49.84,65.65,52.77,49
Hendry,41.19,59.8,40.85,64.47,50.48,51
Her0ndo,48.39,68.05,52.02,72.97,60.82,53
Highlands,0,0,53.72,75.29,67.78,55
Hillsborough,47.5,73.1,49.3,71.7,61.6,57
Holmes,55.67,72.43,52.28,76.78,63.63,59
Indian River,53.36,77.07,54.62,76.63,66.12,61
Jackson,0,0,0,0,57.57,63
Jefferson,0,0,67.65,81.57,75.64,65
Lafayette,58.12,75.29,59.88,76.99,65.52,67
Lake,0,0,0,0,66.22,69
Lee,61.08,75.13,59.11,78.52,65.63,71
Leon,60.05,78.21,56.99,75.12,66.19,73
Levy,51.93,73,52.16,73.06,52.71,75
Liberty,0,75.49,60.82,74.47,62.6,77
Madison,0,0,55.64,74.36,64.83,79
Ma0tee,53.46,73.46,56.96,78.85,67.28,81
Marion,54.36,72.77,56.25,76.75,64.3,83
Martin,54.79,78.02,59.37,78.91,68.88,85
Miami-Dade,41.4,67.7,41.1,72.9,57.4,25
Monroe,0,0,56.52,79.19,67.84,87
0ssau,54.93,78.97,55.63,77.11,65.6,89
Okaloosa,48.41,73.78,49.85,75.7,62.5,91
Okeechobee,45.32,64.6,46.4,69.27,55.27,93
Orange,0,68.08,43.26,71.74,59.67,95
Osceola,0,0,41.33,72.69,53.08,97
Palm Beach,0,69.51,49.98,74.58,63.86,99
Pasco,46.68,69.47,53.38,72.89,60.65,101
Pinellas,51.26,73.73,57.24,77.39,65.92,103
Polk,0,0,0,70.91,59.28,105
Put0m,49.5,72.7,51,70.62,59.96,107
St. Johns,54.36,75.49,54.54,80.58,70.38,109
St. Lucie,46.45,70.5,49.69,73.6,61.67,111
Santa Rosa,45.06,66.19,43.26,68.11,57.58,113
Sarasota,56.1,75.21,58.93,77.32,66.97,115
Seminole,0,0,0,0,66.2,117
Sumter,0,0,0,0,77.68,119
Suwannee,54.69,71.01,51.5,71.5,62.09,121
Taylor,0,0,55.86,76.47,65.89,123
Union,52.3,0,72.06,79.36,66.29,125
Volusia,50.3,71,55.7,72.97,60.41,127
Wakulla,0,0,62.06,77.46,68.76,129
Walton,0,0,49.29,73.06,60.85,131
Washington,0,0,57.84,74.43,57.74,133
